key,en,es
D3A281_95850C,"Explain again","Explícame de nuevo"
F5F699_226861,"Let’s take a look at the toolbar at the top of your screen.","Echemos un vistazo a la barra de herramientas en la parte superior de la pantalla."
F5F699_8EB92B,"This is where you can switch between different modes.","Aquí es donde puedes cambiar entre diferentes modos."
F5F699_907B9F,"You have a normal mode and a delete mode.","Tienes un modo normal y un modo de eliminación."
F5F699_9B5AB6,"In delete mode, you can remove connections and devices just by selecting them.","En el modo de eliminación, puedes eliminar conexiones y dispositivos simplemente seleccionándolos."
F5F699_F7F156,"Be careful though — it’s easy to delete things by accident.","Ten cuidado, eso sí: es fácil borrar cosas por accidente."
F5F699_4D71FD,"To go back to normal mode, simply select the cursor icon.","Para volver al modo normal, simplemente selecciona el icono del cursor."
F5F699_56E1C4,"And if you want to delete again, select the X icon.","Y si quieres borrar de nuevo, selecciona el icono de la X."
F5F699_5A7613,"Try switching between modes to get familiar with it.","Intenta cambiar entre modos para familiarizarte con ello."
F5F699_D3BAD3,"Good. Control over your tools makes everything easier.","Bien. El control sobre tus herramientas hace que todo sea más fácil."
F5F699_CA37D8,"Got it!","¡Entendido!"
F5F699_5E620A,"Use the toolbar at the top.","Usa la barra de herramientas en la parte superior."
F5F699_909066,"Cursor = normal mode. X = delete mode.","Cursor = modo normal. X = modo de eliminación."
F5F699_2F229C,"Delete mode removes devices and connections when you click them.","El modo de eliminación borra dispositivos y conexiones cuando haces clic en ellos."
F5F699_5E930B,"Perfect. Use it wisely.","Perfecto. Úsalo sabiamente."
F5F699_03B56B,"Okay, understood","Vale, entendido"
F5F699_FC24BE,"Explain again","Explícame de nuevo"
1CE566_B62EAC,"Mission time.","Hora de la misión."
1CE566_A76336,"Your goal is to send your first packet.","Tu objetivo es enviar tu primer paquete."
1CE566_216D82,"To do this, you’ll need two computers and at least one switch.","Para hacer esto, necesitarás dos computadoras y al menos un switch."
1CE566_BF64E5,"First, connect one computer to the switch.","Primero, conecta una computadora al switch."
1CE566_2A6FEA,"Then, connect the switch to the second computer.","Luego, conecta el switch a la segunda computadora."
1CE566_CEB1FF,"Now, select the target computer.","Ahora, selecciona la computadora objetivo."
1CE566_BA7C0F,"In the inspector, copy its MAC address using the copy button.","En el inspector, copia su dirección MAC usando el botón de copiar."
1CE566_277D5A,"Next, go back to the first computer.","Después, vuelve a la primera computadora."
1CE566_9BAC2C,"Open its interaction panel and create a message.","Abre su panel de interacción y crea un mensaje."
1CE566_538C3C,"Paste the MAC address there and send it.","Pega la dirección MAC allí y envíalo."
1CE566_FB20E5,"If everything is set up correctly, you’ll see the packet travel through the network.","Si todo está configurado correctamente, verás el paquete viajar a través de la red."
1CE566_E6A804,"Excellent work. You’ve just sent your first packet.","Excelente trabajo. Acabas de enviar tu primer paquete."
1CE566_4FF73B,"Done!","¡Listo!"
1CE566_4BA1F9,"Connect PC → Switch → PC.","Conecta PC → Switch → PC."
1CE566_524DA8,"Copy the MAC address from the target PC.","Copia la dirección MAC de la PC objetivo."
1CE566_0D3C5E,"Paste it into the sender PC and send the message.","Pégala en la PC emisora y envía el mensaje."
1CE566_4B6EA1,"Perfect. Give it another try.","Perfecto. Inténtalo de nuevo."
1CE566_124C09,"Got it now","Ya lo entendí"
1CE566_0FD948,"I need help","Necesito ayuda"
E71D77_3EAA4A,"That’s it — you’ve completed your first mission.","Eso es todo, has completado tu primera misión."
E71D77_1916F4,"Nice work.","Buen trabajo."
E71D77_57F2EA,"You’ve taken your first steps into understanding how networks really work.","Has dado tus primeros pasos para entender cómo funcionan realmente las redes."
E71D77_1D1CDA,"And this is just the beginning.","Y esto es solo el comienzo."
E71D77_2FDB78,"The Hydra Editor is available in the level menu.","El Hydra Editor está disponible en el menú de niveles."
E71D77_D31063,"Feel free to explore it and create your own network setups.","Siéntete libre de explorarlo y crear tus propias configuraciones de red."
E71D77_CEFDE3,"Experiment, break things, rebuild them… that’s where the real learning happens.","Experimenta, rompe cosas, vuelve a construirlas... ahí es donde ocurre el aprendizaje real."
E71D77_A969E2,"Thanks for being here. I’ll be around whenever you need guidance.","Gracias por estar aquí. Estaré cerca siempre que necesites orientación."
